pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2024-07-04,89.4,-1.2,5.54,"Doval, Camilo",594807,666808,strikeout,swinging_strike,,,,,14,Adam Duvall strikes out swinging.,R,R,R,ATL,SF,S,2,,1,2,2024,0.77,-0.24,0.1816728748496674,0.8197273076964575,,542303,,2,9,Bot,,,,,,,1.7853035197782396,-130.21863152730458,-5.108222063745512,8.304759769545358,28.18734472097181,-33.96878617818107,3.45,1.57,,,,89.3,2529,6.2,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.29,,0.0,0.0,1,0,0,,71,4,Slider,2,4,2,4,4,2,2,4,Infield shade,Standard,68,-0.05,-0.213,72.0,8.1,5.159118144,,0.213,,-2,-2,0.05,0.05,26,35,27,36,1,3,2,1,1,1,3.09,-0.77,-0.77,18.0,24.97555609003649,-27.84341993485988,39.75004653015674,37.57700720456397,48.46703908739907
FC,2024-07-04,100.3,-1.28,5.7,"Doval, Camilo",594807,666808,,ball,,,,,11,,R,R,R,ATL,SF,B,,,0,2,2024,-0.4,0.78,-1.2551575272215043,3.269588529555389,,542303,,2,9,Bot,,,,,,,1.007342270243206,-146.1140009287927,-3.2505894332728493,-5.934720303310741,32.18197845764107,-20.40394160215515,3.35348971602236,1.5925838760839,,,,100.6,2452,6.3,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.24,,,,,,,,71,3,Cutter,2,4,2,4,4,2,2,4,Strategic,Standard,220,0.0,0.018,,,,,-0.018,,-2,-2,0.05,0.05,26,35,27,36,1,3,2,1,1,1,1.47,0.4,0.4,21.4,,,,,
SL,2024-07-04,89.7,-1.39,5.4,"Doval, Camilo",594807,666808,,foul,,,,,14,,R,R,R,ATL,SF,S,,,0,1,2024,0.71,0.03,0.7216626903956969,0.3512336302913135,,542303,,2,9,Bot,,,,,,,3.719749825999902,-130.5248294440971,-6.564506094986668,7.412245583852013,26.69000925259485,-30.703119212362477,3.45,1.57,,,,89.8,2431,6.3,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.23,,,,,,,,71,2,Slider,2,4,2,4,4,2,2,4,Infield shade,Standard,68,0.0,-0.067,57.8,8.3,,,0.067,,-2,-2,0.05,0.05,26,35,27,36,1,3,2,1,1,1,2.8,-0.71,-0.71,18.0,27.14659342610206,-34.869305916856135,41.28317326134941,43.76354394237055,50.04726275043201
SL,2024-07-04,89.6,-1.29,5.45,"Doval, Camilo",594807,666808,,called_strike,,,,,9,,R,R,R,ATL,SF,S,,,0,0,2024,0.47,-0.22,0.639006841953977,1.539811945675797,,542303,,2,9,Bot,,,,,,,3.7718543061117233,-130.52172422771451,-3.2011480211805745,4.516427611532279,27.8973166461076,-34.18317398773291,3.35030581468369,1.54452964354432,,,,89.4,2487,6.1,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.38,,,,,,,,71,1,Slider,2,4,2,4,4,2,2,4,Standard,Standard,60,0.0,-0.04,,,,,0.04,,-2,-2,0.05,0.05,26,35,27,36,1,3,2,1,1,1,3.05,-0.47,-0.47,17.1,,,,,
FC,2024-07-04,98.5,-1.34,5.53,"Doval, Camilo",663586,666808,field_out,hit_into_play,,,,,5,"Austin Riley grounds out, third baseman Matt Chapman to first baseman LaMonte Wade Jr. Marcell Ozuna to 2nd.",R,R,R,ATL,SF,X,5,ground_ball,0,1,2024,-0.62,0.65,-0.0448069889649536,2.795640392834864,,,542303,1,9,Bot,98.0,175.15,,,,,4.946231449589522,-143.46205315303774,-3.5010446496982697,-9.70818073256275,32.83468847832077,-22.55540096179778,3.45,1.58,3,61.3,-44,98.5,2408,6.2,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.29,0.223,0.237,0.0,1,0,0,2,70,2,Cutter,2,4,2,4,4,2,2,4,Standard,Standard,227,-0.052,-0.273,78.6,7.5,,0.225,0.273,88.0,-2,-2,0.102,0.102,26,27,27,27,1,3,2,1,1,1,1.69,0.62,0.62,19.8,18.505552000063226,-17.835907607050075,30.167490637763848,35.503629588790766,43.40641124454861
FC,2024-07-04,101.1,-1.54,5.58,"Doval, Camilo",663586,666808,,called_strike,,,,,5,,R,R,R,ATL,SF,S,,,0,0,2024,-0.51,0.92,-0.2556886744543483,2.886994126469473,,,542303,1,9,Bot,,,,,,,4.7844616026009055,-147.25287095397073,-4.433236019901504,-8.421035345910326,30.965114600335816,-17.90234604035111,3.50626582399804,1.67905487772224,,,,101.4,2464,6.2,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.34,,,,,,,,70,1,Cutter,2,4,2,4,4,2,2,4,Standard,Standard,224,-0.01,-0.04,,,,,0.04,,-2,-2,0.112,0.112,26,27,27,27,1,3,2,1,1,1,1.28,0.51,0.51,15.7,,,,,
SL,2024-07-04,89.8,-1.41,5.56,"Doval, Camilo",621566,666808,strikeout,swinging_strike,,,,,13,Matt Olson strikes out swinging.,R,L,R,ATL,SF,S,2,,0,2,2024,0.21,-0.35,-0.7913819161133178,1.1888628506135812,,,542303,0,9,Bot,,,,,,,1.0847142334400637,-130.6716086745038,-4.035676098984695,2.115973067212363,29.365930125121707,-35.50737892161451,3.63,1.72,,,,89.1,2415,6.0,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.47,,0.0,0.0,1,0,0,,69,4,Slider,2,4,2,4,4,2,2,4,Standard,Standard,58,-0.048,-0.15,66.7,7.8,1.510877508,,0.15,,-2,-2,0.16,0.16,26,30,27,30,1,3,2,1,1,1,3.19,-0.21,0.21,20.5,1.8483779533799052,3.610128308436696,36.53541850157451,49.939809424912966,23.02448002555082
FC,2024-07-04,100.2,-1.29,5.67,"Doval, Camilo",621566,666808,,foul,,,,,5,,R,L,R,ATL,SF,S,,,0,2,2024,-0.48,1.05,0.1505988744274726,2.866482821016954,,,542303,0,9,Bot,,,,,,,5.0808536606708525,-145.91650410879842,-4.898568652268607,-7.969234063315588,32.921615545394395,-16.184897465780324,3.63,1.72,306,91.4,40,100.2,2523,6.1,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.37,,,,,,,,69,3,Cutter,2,4,2,4,4,2,2,4,Standard,Standard,222,0.0,0.0,66.8,6.6,,,0.0,91.4,-2,-2,0.16,0.16,26,30,27,30,1,3,2,1,1,1,1.21,0.48,-0.48,19.4,-3.533218069795119,11.603582836337337,33.67719173171674,38.53559943589377,24.25642879579075
SL,2024-07-04,88.3,-1.36,5.54,"Doval, Camilo",621566,666808,,called_strike,,,,,7,,R,L,R,ATL,SF,S,,,0,1,2024,0.61,-0.43,-0.4147891787138668,1.7996959072783445,,,542303,0,9,Bot,,,,,,,1.0356279738607028,-128.70304874781866,-2.146338409371019,6.57897796134231,27.18106131125372,-36.68376429620698,3.52853800299335,1.81349793844648,,,,88.1,2499,6.1,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.4,,,,,,,,69,2,Slider,2,4,2,4,4,2,2,4,Standard,Standard,69,-0.02,-0.048,,,,,0.048,,-2,-2,0.18,0.18,26,30,27,30,1,3,2,1,1,1,3.35,-0.61,0.61,20.6,,,,,
FC,2024-07-04,100.0,-1.54,5.46,"Doval, Camilo",621566,666808,,called_strike,,,,,6,,R,L,R,ATL,SF,S,,,0,0,2024,-0.64,0.8,0.7306067418696056,2.6541819264972317,,,542303,0,9,Bot,,,,,,,7.74571599051042,-145.5001546060369,-4.288444978227752,-10.77389590617214,31.569366021809515,-19.917133816116383,3.59534304535635,1.79109646537419,,,,100.3,2457,6.3,747103,672275,664774,689172,656305,605113,624424,671218,682641,54.22,,,,,,,,69,1,Cutter,2,4,2,4,4,2,2,4,Standard,Standard,228,-0.012,-0.042,,,,,0.042,,-2,-2,0.192,0.192,26,30,27,30,1,3,2,1,1,1,1.46,0.64,-0.64,15.1,,,,,
